Urban Cluster	Country	Population	Footprint (Mt CO2)	1StdDev	Footprint/Cap (t CO2/cap)	ClusterID	Global ranking
Unknown city at lat/lon 40.3, -111.7	USA	253000		2.100000e+00	11.0 &plusmn;8.2	193	330
Bakersfield	USA	446000		2.900000e+00	11.0 &plusmn;6.5	30	331
Unknown city at lat/lon 37.6, 120.5	China	181000		1.700000e+00	11.0 &plusmn;9.1	12266	332
Zurich	Switzerland	647000		3.800000e+00	11.0 &plusmn;5.9	2298	333
Ul'yanovsk	Russia	309000		2.500000e+00	10.9 &plusmn;8.0	4238	334
Riverside-San Bernardino	USA	166000		1.400000e+00	10.9 &plusmn;8.7	49	335
Unknown city at lat/lon 36.5, 114.2	China	325000		2.500000e+00	10.9 &plusmn;7.7	11301	336
Unknown city at lat/lon 38.3, 140.3	Japan	202000		1.400000e+00	10.9 &plusmn;6.7	13654	337
Tyumen	Russia	508000		3	10.9 &plusmn;5.9	5138	338
Zaozhuang	China	538000		3.700000e+00	10.9 &plusmn;6.9	12180	339
Haifa	Israel	393000		2.400000e+00	10.8 &plusmn;6.2	3938	340
Unknown city at lat/lon 37.5, 121.3	China	633000		4.300000e+00	10.8 &plusmn;6.7	12426	341
Ufa	Russia	809000		4.500000e+00	10.8 &plusmn;5.5	4811	342
Kashi	China	453000		3.300000e+00	10.8 &plusmn;7.3	5722	343
Kuybyskev	Russia	935000		5	10.8 &plusmn;5.3	4374	344
Unknown city at lat/lon 51.9, 7.6	Germany	187000		2	10.8 &plusmn;10.6	2191	345
Unknown city at lat/lon 37.2, 122.4	China	158000		2	10.8 &plusmn;12.8	12701	346
Langfang	China	507000		4.100000e+00	10.8 &plusmn;8.1	11220	347
Athens	Greece	3276000		1.190000e+01	10.8 &plusmn;3.6	3165	348
Saratov	Russia	681000		3.600000e+00	10.8 &plusmn;5.2	4205	349
Unknown city at lat/lon 37.4, 121.6	China	160000		1.600000e+00	10.8 &plusmn;9.7	12539	350
Unknown city at lat/lon 52.9, -1.5	UK	230000		1.300000e+00	10.7 &plusmn;5.7	1697	351
Unknown city at lat/lon 45.6, 122.8	China	280000		3.600000e+00	10.7 &plusmn;12.8	11061	352
Taegu	South Korea	1918000		8.700000e+00	10.6 &plusmn;4.5	13384	353
Groningen	Netherlands	159000		1.200000e+00	10.6 &plusmn;7.3	2099	354
Unknown city at lat/lon 50.4, -4.1	UK	220000		1.700000e+00	10.6 &plusmn;7.7	1583	355
Birmingham	UK	2374000		7.400000e+00	10.6 &plusmn;3.1	1665	356
Unknown city at lat/lon 37.8, 140.5	Japan	195000		1.300000e+00	10.6 &plusmn;6.8	13678	357
Amsterdam	Netherlands	1043000		4.500000e+00	10.5 &plusmn;4.3	1995	358
Teesport	UK	301000		1.700000e+00	10.5 &plusmn;5.8	1712	359
Unknown city at lat/lon 32.6, 110.8	China	579000		4.500000e+00	10.5 &plusmn;7.9	11258	360
Unknown city at lat/lon 52.3, -0.9	UK	189000		1.400000e+00	10.5 &plusmn;7.3	1735	361
Unknown city at lat/lon 37.5, 112.1	China	434000		2.500000e+00	10.5 &plusmn;5.8	10874	362
Unknown city at lat/lon 50.8, -1.1	UK	250000		1.500000e+00	10.5 &plusmn;6.2	1717	363
Bremen	Germany	401000		2.500000e+00	10.5 &plusmn;6.3	2270	364
Unknown city at lat/lon 36.7, 137.2	Japan	228000		1.300000e+00	10.4 &plusmn;5.8	13615	365
Ceboksary	Russia	389000		2.900000e+00	10.4 &plusmn;7.4	4086	366
London	UK	9486000		2.180000e+01	10.4 &plusmn;2.3	1761	367
Unknown city at lat/lon 53.0, -2.2	UK	318000		4.000000e-01	10.4 &plusmn;1.3	1661	368
Unknown city at lat/lon 37.4, 121.5	China	227000		2.200000e+00	10.4 &plusmn;9.8	12512	369
Fushun	China	1230000		7	10.4 &plusmn;5.7	11986	370
Berlin	Germany	3217000		1.160000e+01	10.4 &plusmn;3.6	2640	371
Unknown city at lat/lon 51.6, -1.8	UK	171000		2.000000e-01	10.4 &plusmn;1.3	1681	372
Southampton	UK	329000		2.800000e+00	10.3 &plusmn;8.5	1699	373
Unknown city at lat/lon 53.8, -3.0	UK	175000		1.400000e+00	10.3 &plusmn;8.1	1624	374
Unknown city at lat/lon 53.8, -0.4	UK	272000		1.900000e+00	10.3 &plusmn;7.1	1778	375
Changzhou	China	1285000		5.800000e+00	10.3 &plusmn;4.5	13020	376
Unknown city at lat/lon 32.5, 119.9	China	453000		3.300000e+00	10.3 &plusmn;7.3	12928	377
Unknown city at lat/lon 36.2, 138.0	Japan	202000		1.300000e+00	10.2 &plusmn;6.4	13652	378
Unknown city at lat/lon 29.7, 118.3	China	193000		1.600000e+00	10.2 &plusmn;8.5	12997	379
Vancouver	Canada	1715000		5.900000e+00	10.2 &plusmn;3.4	188	380
Liestal	Switzerland	311000		3.300000e+00	10.2 &plusmn;10.5	20912	381
Ostrava	Czech Republic	222000		1.900000e+00	10.2 &plusmn;8.5	2892	382
Unknown city at lat/lon 36.3, 120.0	China	396000		2.800000e+00	10.2 &plusmn;7.2	12431	383
Unknown city at lat/lon 39.8, 98.3	China	183000		1.800000e+00	10.2 &plusmn;9.6	9566	384
Unknown city at lat/lon 35.6, 111.3	China	243000		2.300000e+00	10.1 &plusmn;9.4	10991	385
Montreal	Canada	2795000		7.400000e+00	10.1 &plusmn;2.6	931	386
Unknown city at lat/lon 43.5, 43.6	Russia	215000		2.200000e+00	10.1 &plusmn;10.3	4321	387
Vladivostok	Russia	462000		3.600000e+00	10.1 &plusmn;7.8	13000	388
Polygyros	Greece	668000		4.400000e+00	10.1 &plusmn;6.6	3134	389
Izevsk	Russia	566000		3.400000e+00	10.1 &plusmn;6.0	4378	390
Taiyuan	China	3517000		1.560000e+01	10.1 &plusmn;4.4	10873	391
Copenhagen	Denmark	1125000		4.700000e+00	10.1 &plusmn;4.2	2544	392
Unknown city at lat/lon 42.5, 125.7	China	228000		2.600000e+00	10.1 &plusmn;11.5	12190	393
Unknown city at lat/lon 32.4, 119.4	China	862000		5.600000e+00	10.1 &plusmn;6.5	12872	394
Unknown city at lat/lon 36.6, 138.2	Japan	308000		1.600000e+00	10.1 &plusmn;5.3	13647	395
Unknown city at lat/lon 39.3, 112.4	China	322000		3.800000e+00	10.1 &plusmn;11.8	10697	396
Unknown city at lat/lon 36.8, 118.3	China	358000		2.800000e+00	10.0 &plusmn;7.9	11988	397
Cologne	Germany	6942000		1.710000e+01	10.0 &plusmn;2.5	2114	398
Linyi, Shandong	China	1510000		6.300000e+00	10.0 &plusmn;4.2	12270	399
Frankfurt	Germany	1035000		4.300000e+00	10.0 &plusmn;4.1	2277	400
Unknown city at lat/lon 61.3, 63.3	Russia	156000		1.600000e+00	10.0 &plusmn;9.9	4840	401
Unknown city at lat/lon 37.4, 140.4	Japan	248000		1.400000e+00	10.0 &plusmn;5.4	13693	402
Saransk	Russia	217000		1.700000e+00	10.0 &plusmn;7.8	4038	403
Unknown city at lat/lon 36.6, 139.9	Japan	370000		2.100000e+00	10.0 &plusmn;5.7	13706	404
Unknown city at lat/lon 37.2, 112.2	China	172000		1.900000e+00	9.9 &plusmn;11.0	10916	405
Unknown city at lat/lon 37.2, 122.0	China	221000		2.600000e+00	9.9 &plusmn;11.9	12645	406
Unknown city at lat/lon 51.3, -0.8	UK	191000		1.100000e+00	9.9 &plusmn;5.8	1744	407
Weifang	China	1099000		5.800000e+00	9.9 &plusmn;5.3	12146	408
Dashkhovuz	Turkmenistan	382000		3.200000e+00	9.9 &plusmn;8.3	5266	409
Prague	Czech Republic	1129000		4.900000e+00	9.9 &plusmn;4.3	2724	410
Vladikavkaz	Russia	328000		1.900000e+00	9.9 &plusmn;5.9	4421	411
Yaskar-Ola	Russia	212000		1.900000e+00	9.9 &plusmn;9.0	4099	412
Beersheba	Israel	202000		1.900000e+00	9.8 &plusmn;9.3	3954	413
Unknown city at lat/lon 31.8, 34.7	Israel	172000		1.300000e+00	9.8 &plusmn;7.7	3928	414
Murmansk	Russia	245000		1.600000e+00	9.8 &plusmn;6.6	3069	415
Furth	Germany	657000		3.600000e+00	9.8 &plusmn;5.4	2527	416
Unknown city at lat/lon 36.5, 116.0	China	527000		3.400000e+00	9.8 &plusmn;6.5	11594	417
Shymkent	Kazakhstan	748000		4.200000e+00	9.8 &plusmn;5.7	5382	418
Unknown city at lat/lon 51.2, 6.4	Germany	177000		1.100000e+00	9.8 &plusmn;6.1	2108	419
Jixi, Heilongjiang	China	403000		3	9.7 &plusmn;7.3	12477	420
Toronto	Canada	5055000		1.150000e+01	9.7 &plusmn;2.3	801	421
Unknown city at lat/lon 52.0, 8.5	Germany	201000		1.600000e+00	9.7 &plusmn;8.1	2263	422
Huashan	China	719000		3.900000e+00	9.7 &plusmn;5.4	12832	423
Muscat	Oman	392000		2.900000e+00	9.6 &plusmn;7.3	5341	424
Unknown city at lat/lon 33.5, -117.2	USA	193000		1.300000e+00	9.6 &plusmn;6.9	39	425
Unknown city at lat/lon 36.7, 117.5	China	393000		2.300000e+00	9.6 &plusmn;5.7	11876	426
Unknown city at lat/lon 50.8, 6.1	Germany	234000		1.700000e+00	9.6 &plusmn;7.1	2073	427
Unknown city at lat/lon 40.9, 122.7	China	441000		2.700000e+00	9.6 &plusmn;6.1	11999	428
Unknown city at lat/lon 36.9, 120.5	China	207000		1.800000e+00	9.6 &plusmn;8.5	12420	429
Unknown city at lat/lon 39.3, 117.8	China	267000		2.200000e+00	9.5 &plusmn;8.3	11435	430
Unknown city at lat/lon 26.3, 107.5	China	155000		2	9.5 &plusmn;13.0	11453	431
Johannesburg	South Africa	11049000		1.990000e+01	9.5 &plusmn;1.8	3403	432
Unknown city at lat/lon 35.8, 115.0	China	566000		3.200000e+00	9.5 &plusmn;5.7	11546	433
Tangshan	China	1762000		6.700000e+00	9.5 &plusmn;3.8	11418	434
Sitrah	Bahrain	2044000		5	9.5 &plusmn;2.5	5216	435
Lausanne	Switzerland	227000		2	9.5 &plusmn;8.7	2149	436
Manchester	UK	3512000		4.200000e+00	9.5 &plusmn;1.2	1621	437
Unknown city at lat/lon 40.6, 122.5	China	289000		1.700000e+00	9.4 &plusmn;5.7	12016	438
Unknown city at lat/lon 18.3, 42.7	Saudi Arabia	333000		3.300000e+00	9.4 &plusmn;10.0	4944	439
Unknown city at lat/lon 37.4, 118.0	China	379000		2.400000e+00	9.4 &plusmn;6.4	11842	440
Unknown city at lat/lon 37.2, 119.9	China	237000		2.700000e+00	9.4 &plusmn;11.3	12237	441
Unknown city at lat/lon 52.3, 10.5	Germany	186000		1.200000e+00	9.4 &plusmn;6.6	2441	442
Dalian	China	3289000		15	9.4 &plusmn;4.6	12175	443
Sari	Iran	289000		1.900000e+00	9.4 &plusmn;6.4	5196	444
Unknown city at lat/lon 36.5, 52.9	Iran	204000		1.700000e+00	9.4 &plusmn;8.2	5187	445
Unknown city at lat/lon 36.5, 52.4	Iran	179000		9.000000e-01	9.4 &plusmn;5.2	5170	446
Unknown city at lat/lon 36.5, 52.7	Iran	271000		1.900000e+00	9.4 &plusmn;7.2	5180	447
Maebashi/Takasaki	Japan	1379000		3.500000e+00	9.4 &plusmn;2.6	13690	448
Nicosia	Cyprus	236000		1.400000e+00	9.4 &plusmn;6.1	3735	449
Unknown city at lat/lon 36.9, 121.5	China	167000		1.600000e+00	9.3 &plusmn;9.7	12610	450
Unknown city at lat/lon 40.0, 118.7	China	215000		1.300000e+00	9.3 &plusmn;5.9	11458	451
Unknown city at lat/lon 36.2, 117.7	China	731000		3	9.3 &plusmn;4.1	11971	452
Benxi	China	762000		5.500000e+00	9.3 &plusmn;7.2	12112	453
Unknown city at lat/lon 31.0, 112.2	China	334000		2.200000e+00	9.3 &plusmn;6.6	11759	454
Unknown city at lat/lon 51.3, 9.5	Germany	222000		1.700000e+00	9.3 &plusmn;7.7	2353	455
Unknown city at lat/lon 30.9, 120.6	China	402000		2.400000e+00	9.2 &plusmn;6.0	13138	456
Unknown city at lat/lon 51.6, -3.0	UK	175000		1.200000e+00	9.2 &plusmn;6.8	1619	457
Unknown city at lat/lon 49.0, 8.4	Germany	277000		1.900000e+00	9.2 &plusmn;6.8	2273	458
Esfahan	Iran	2151000		6.900000e+00	9.2 &plusmn;3.2	5195	459
Unknown city at lat/lon 32.6, 51.3	Iran	170000		1.200000e+00	9.2 &plusmn;7.0	5185	460
Unknown city at lat/lon 31.4, 119.8	China	344000		2.400000e+00	9.2 &plusmn;6.9	13025	461
Unknown city at lat/lon 36.3, 111.7	China	161000		1.500000e+00	9.2 &plusmn;9.4	10970	462
Unknown city at lat/lon 31.3, 119.8	China	179000		1.800000e+00	9.2 &plusmn;10.1	13042	463
Unknown city at lat/lon 36.9, 118.7	China	311000		2.900000e+00	9.2 &plusmn;9.2	12057	464
Wuxi	China	12010000		2.580000e+01	9.2 &plusmn;2.1	12992	465
Smolensk	Russia	302000		1.900000e+00	9.2 &plusmn;6.4	3241	466
Bloemfontein	South Africa	405000		2	9.2 &plusmn;4.9	3304	467
Unknown city at lat/lon 52.4, -1.5	UK	382000		2.100000e+00	9.2 &plusmn;5.6	1692	468
Unknown city at lat/lon 34.8, 117.3	China	217000		1.500000e+00	9.2 &plusmn;6.9	12151	469
Unknown city at lat/lon 39.7, 141.1	Japan	245000		1.600000e+00	9.2 &plusmn;6.7	13627	470
Unknown city at lat/lon 27.3, -80.4	USA	170000		8.000000e-01	9.2 &plusmn;5.0	550	471
Huangshi	China	779000		4.800000e+00	9.2 &plusmn;6.2	12452	472
Unknown city at lat/lon 50.7, -1.9	UK	346000		1.900000e+00	9.1 &plusmn;5.4	1672	473
Nazareth	Israel	179000		1.400000e+00	9.1 &plusmn;7.8	3972	474
Ahvaz	Iran	1271000		6	9.1 &plusmn;4.7	5124	475
Dublin	Ireland	1005000		4.200000e+00	9.1 &plusmn;4.2	1534	476
Unknown city at lat/lon 51.9, -0.5	UK	245000		1.800000e+00	9.1 &plusmn;7.2	1769	477
Unknown city at lat/lon 36.9, 117.7	China	193000		1.100000e+00	9.1 &plusmn;5.8	11893	478
Unknown city at lat/lon 40.7, 120.8	China	515000		4.100000e+00	9.1 &plusmn;8.0	11680	479
Yancheng, Jiangsu	China	770000		3.900000e+00	9.1 &plusmn;5.0	12850	480
Unknown city at lat/lon 56.0, 37.2	Russia	214000		2	9.1 &plusmn;9.2	3398	481
Unknown city at lat/lon 48.4, 10.9	Germany	300000		1.600000e+00	9.1 &plusmn;5.2	2531	482
Unknown city at lat/lon 35.6, 117.0	China	272000		2.100000e+00	9.1 &plusmn;7.8	11958	483
Unknown city at lat/lon 34.7, 109.2	China	162000		1.400000e+00	9.1 &plusmn;8.3	10826	484
Unknown city at lat/lon 36.2, 116.7	China	337000		2.700000e+00	9.0 &plusmn;8.0	11795	485
Unknown city at lat/lon 38.3, 116.8	China	601000		3.700000e+00	9.0 &plusmn;6.2	11442	486
Unknown city at lat/lon 43.9, 81.3	China	385000		2.500000e+00	9.0 &plusmn;6.5	5893	487
Unknown city at lat/lon 41.2, 80.2	China	243000		2.200000e+00	9.0 &plusmn;9.2	5999	488
Unknown city at lat/lon 36.4, 119.8	China	425000		2.200000e+00	9.0 &plusmn;5.1	12360	489
Tianjin	China	7971000		2.040000e+01	9.0 &plusmn;2.6	11319	490
Unknown city at lat/lon 46.6, 131.1	China	232000		1.600000e+00	8.9 &plusmn;6.8	12144	491
Leipzig	Germany	426000		2	8.9 &plusmn;4.7	2596	492
Unknown city at lat/lon 36.0, 119.4	China	400000		2.800000e+00	8.9 &plusmn;7.1	12363	493
Unknown city at lat/lon 54.9, 23.9	Lithuania	252000		1.600000e+00	8.9 &plusmn;6.4	3047	494
Nottingham	UK	603000		2.200000e+00	8.9 &plusmn;3.6	1709	495
Unknown city at lat/lon 34.0, 51.4	Iran	237000		1.600000e+00	8.8 &plusmn;6.6	5171	496
Unknown city at lat/lon 35.4, 116.9	China	471000		2.700000e+00	8.8 &plusmn;5.8	11975	497
Unknown city at lat/lon 51.6, 0.6	UK	250000		1.400000e+00	8.8 &plusmn;5.4	1836	498
Unknown city at lat/lon 38.7, 116.1	China	197000		1.600000e+00	8.8 &plusmn;8.0	11253	499
Yingkou	China	488000		3.200000e+00	8.8 &plusmn;6.6	11964	500
